id,extra_attributes
1956,"{'dept': 'MFG', 'name': 'Brandt Lind', 'shift': 'Night', 'title': 'RPL01065', 'supvid': '01324248', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Abdul Rahman Bin Mohamad Yusub', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1955,"{'dept': 'MFG', 'name': 'Edmund Jones', 'shift': 'Group 3', 'title': 'RPL01063', 'supvid': '01324248', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Abdul Rahman Bin Mohamad Yusub', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1954,"{'dept': 'MFG', 'name': 'Corbin Wuckert', 'shift': 'Group 3', 'title': 'RPL01049', 'supvid': '01404732', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Badariah Binti Abdul Aziz', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1953,"{'dept': 'MFG', 'name': 'Meggie Leannon', 'shift': 'Group 2', 'title': 'RPL01046', 'supvid': '01532423', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Sanita Binti Jauhari Ponnambalam', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1952,"{'dept': 'MFG', 'name': 'Thea Stroman', 'shift': 'Group 2', 'title': 'RPL01042', 'supvid': '01532423', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Sanita Binti Jauhari Ponnambalam', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1951,"{'dept': 'MFG', 'name': 'Humberto Hane', 'shift': 'Group 2', 'title': 'RPL01041', 'supvid': '00090340', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohamad Sobri Bin Daud', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1950,"{'dept': 'MFG', 'name': 'Eveline Gleichner', 'shift': 'Morning', 'title': 'ODL00399', 'supvid': '01639126', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Syaffiq Ahmad Bin Mohd Hussain', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1949,"{'dept': 'MFG', 'name': 'River Bauch', 'shift': 'Morning', 'title': 'ODL00371', 'supvid': '00030414', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Zuriati Binti Ahmad Sofi', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1948,"{'dept': 'MFG', 'name': 'Hortense Hyatt', 'shift': 'Group 2', 'title': 'ODL00338', 'supvid': '00028871', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Thamayanthi A/P Subramaniam', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1947,"{'dept': 'MFG', 'name': 'Haven Collins', 'shift': 'Morning', 'title': 'NML03173', 'supvid': '00030414', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Zuriati Binti Ahmad Sofi', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1946,"{'dept': 'MFG', 'name': 'Perry Kassulke', 'shift': 'Group 2', 'title': 'NML03142', 'supvid': '00028871', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Thamayanthi A/P Subramaniam', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1945,"{'dept': 'MFG', 'name': 'Patrick Dietrich', 'shift': 'Morning', 'title': 'NML03134', 'supvid': '00030462', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Husaini Gooi Bin Abdullah', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF04', 'shiftgroup': 'G26.C'}"
1944,"{'dept': 'MFG', 'name': 'Olga Ullrich', 'shift': 'Night', 'title': 'NML03115', 'supvid': '00031138', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Wong Tai Yih', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF04', 'shiftgroup': 'G27.C'}"
1943,"{'dept': 'MFG', 'name': 'Rachael Koelpin', 'shift': 'Morning', 'title': 'NML03100', 'supvid': '00031513', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Suresh A/L Muniandy', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1942,"{'dept': 'MFG', 'name': 'Felton Renner', 'shift': 'Morning', 'title': 'NML03099', 'supvid': '01392030', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Vigneshweri A/P Krishna', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1941,"{'dept': 'MFG', 'name': 'Abel Steuber', 'shift': 'Night', 'title': 'NML02970', 'supvid': '01324248', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Abdul Rahman Bin Mohamad Yusub', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1940,"{'dept': 'MFG', 'name': 'Hershel Lehner', 'shift': 'Group 2', 'title': 'NML02968', 'supvid': '01532423', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Sanita Binti Jauhari Ponnambalam', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1939,"{'dept': 'MFG', 'name': 'Germaine Considine', 'shift': 'Group 2', 'title': 'NML02966', 'supvid': '01532423', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Sanita Binti Jauhari Ponnambalam', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1938,"{'dept': 'MFG', 'name': 'Jeromy Block', 'shift': 'Morning', 'title': 'JPE01499I', 'supvid': '00030462', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Husaini Gooi Bin Abdullah', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1937,"{'dept': 'MFG', 'name': 'Dashawn Strosin', 'shift': 'Group 2', 'title': 'JPE01467I', 'supvid': '00031231', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Fairus Bin Yahaya', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1936,"{'dept': 'MFG', 'name': 'Cristobal Botsford', 'shift': 'Group 2', 'title': 'JPE01249I', 'supvid': '00031231', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Fairus Bin Yahaya', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1935,"{'dept': 'MFG', 'name': 'Erik Wiegand', 'shift': 'Morning', 'title': 'JPE01240V', 'supvid': '00030414', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Zuriati Binti Ahmad Sofi', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1934,"{'dept': 'MFG', 'name': 'Lon Heathcote', 'shift': 'Night', 'title': 'GPL00713', 'supvid': '01324248', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Abdul Rahman Bin Mohamad Yusub', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1933,"{'dept': 'MFG', 'name': 'Kennith Hill', 'shift': 'Group 2', 'title': 'GPL00685', 'supvid': '01375131', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Dineeshkumar A/L Subramaniam', 'workcell': 'KEYSIGHT', 'costcenter': '711061', 'department': 'MF04', 'shiftgroup': 'G61.C'}"
1932,"{'dept': 'MFG', 'name': 'Theodore Morar', 'shift': 'Morning', 'title': 'GPL00683', 'supvid': '01326122', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Vinoshraj A/L Krishnan', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1931,"{'dept': 'MFG', 'name': ""Chaz O'Kon"", 'shift': 'Night', 'title': 'DR13656I', 'supvid': '01326122', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Vinoshraj A/L Krishnan', 'workcell': 'KEYSIGHT', 'costcenter': '712009', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1930,"{'dept': 'MFG', 'name': 'Earnestine Koepp', 'shift': 'Group 2', 'title': 'DR13609I', 'supvid': '00029737', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Latipah Binti Ahmad', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1929,"{'dept': 'MFG', 'name': 'Henry Baumbach', 'shift': 'Group 2', 'title': 'DR13490I', 'supvid': '00029196', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Sarah Dina Binti Md Ariffin', 'workcell': 'KEYSIGHT', 'costcenter': '711061', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1928,"{'dept': 'MFG', 'name': 'Isabel Kunde', 'shift': 'Morning', 'title': 'DR13489I', 'supvid': '00029196', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Sarah Dina Binti Md Ariffin', 'workcell': 'KEYSIGHT', 'costcenter': '711061', 'department': 'MF00', 'shiftgroup': 'G47.C'}"
1927,"{'dept': 'MFG', 'name': ""Gabriel O'Kon"", 'shift': 'Night', 'title': 'DR13486I', 'supvid': '01326122', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Vinoshraj A/L Krishnan', 'workcell': 'KEYSIGHT', 'costcenter': '711060', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1926,"{'dept': 'MFG', 'name': 'Providenci Witting', 'shift': 'Group 2', 'title': 'DR13484I', 'supvid': '01404732', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Badariah Binti Abdul Aziz', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1925,"{'dept': 'MFG', 'name': 'Erwin Armstrong', 'shift': 'Group 3', 'title': 'DR13483I', 'supvid': '00029246', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Nor Azizah Binti Jamalludin', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1924,"{'dept': 'MFG', 'name': 'Alexis Armstrong', 'shift': 'Group 3', 'title': 'DR13479I', 'supvid': '00029246', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Nor Azizah Binti Jamalludin', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1923,"{'dept': 'MFG', 'name': 'Turner Ward', 'shift': 'Morning', 'title': 'DR13478I', 'supvid': '01326122', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Vinoshraj A/L Krishnan', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1922,"{'dept': 'MFG', 'name': 'Maxime Jenkins', 'shift': 'Group 2', 'title': 'DR13476I', 'supvid': '00090340', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohamad Sobri Bin Daud', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1921,"{'dept': 'MFG', 'name': 'Shanelle Berge', 'shift': 'Group 2', 'title': 'DR13473I', 'supvid': '01532423', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Sanita Binti Jauhari Ponnambalam', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1920,"{'dept': 'MFG', 'name': 'Maurine Jast', 'shift': 'Night', 'title': 'DR13468I', 'supvid': '00092733', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Shafiur Rahman Bin Syed Sultan', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1919,"{'dept': 'MFG', 'name': 'Leora Baumbach', 'shift': 'Group 3', 'title': 'DR13415I', 'supvid': '01324248', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Abdul Rahman Bin Mohamad Yusub', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1918,"{'dept': 'MFG', 'name': 'Laverne Bogisich', 'shift': 'Group 2', 'title': 'DR13410I', 'supvid': '00029246', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Nor Azizah Binti Jamalludin', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G61.C'}"
1917,"{'dept': 'MFG', 'name': 'Stacy Prosacco', 'shift': 'Night', 'title': 'DR13406I', 'supvid': '00029246', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Nor Azizah Binti Jamalludin', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1916,"{'dept': 'MFG', 'name': 'Trisha Konopelski', 'shift': 'Group 3', 'title': 'DR13405I', 'supvid': '00028871', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Thamayanthi A/P Subramaniam', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1915,"{'dept': 'MFG', 'name': 'Joany Sawayn', 'shift': 'Night', 'title': 'DR13401I', 'supvid': '01326122', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Vinoshraj A/L Krishnan', 'workcell': 'KEYSIGHT', 'costcenter': '712009', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1914,"{'dept': 'MFG', 'name': 'Kiara Herman', 'shift': 'Group 3', 'title': 'DR13400I', 'supvid': '00029196', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Sarah Dina Binti Md Ariffin', 'workcell': 'KEYSIGHT', 'costcenter': '711061', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1913,"{'dept': 'MFG', 'name': 'Emerald Collier', 'shift': 'Night', 'title': 'DR13397I', 'supvid': '00030414', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Zuriati Binti Ahmad Sofi', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1912,"{'dept': 'MFG', 'name': 'Burdette Weber', 'shift': 'Night', 'title': 'DR13396I', 'supvid': '00030414', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Zuriati Binti Ahmad Sofi', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
